lr,er,df,Cooperation,avgWSLS,avgGT,avgALLD,WSLS,GT,ALLD
1.0,0.001,0.95,0.061832394,0.008,0.008,0.632,True,True,True
1.0,0.001,0.99,0.061832394,0.008,0.008,0.632,True,True,True
1.0,0.003,0.95,0.062695615,0.008,0.008,0.632,True,True,True
1.0,0.003,0.99,0.062695615,0.008,0.008,0.632,True,True,True
1.0,0.01,0.95,0.06572091,0.008,0.008,0.632,True,True,True
1.0,0.01,0.99,0.06572091,0.008,0.008,0.632,True,True,True
1.0,0.03,0.95,0.074379854,0.008,0.008,0.632,True,True,True
1.0,0.03,0.99,0.0720091,0.008,0.0,0.712,True,False,True
1.0,0.1,0.95,0.10250552,0.008,0.0,0.712,True,False,True
1.0,0.1,0.99,0.10250552,0.008,0.0,0.712,True,False,True
1.0,0.3,0.95,0.19047032,0.008,0.0,0.72,True,False,True
1.0,0.3,0.99,0.19054072,0.008,0.0,0.712,True,False,True
1.0,0.5,0.95,0.25285712,0.0,0.008,0.86,False,True,True
1.0,0.5,0.99,0.25285712,0.0,0.008,0.86,False,True,True
0.3,0.001,0.95,0.3079456,0.308,0.224,0.468,True,True,True
0.3,0.001,0.99,0.27999064,0.28,0.184,0.536,True,True,True
0.3,0.003,0.95,0.30782074,0.308,0.22,0.472,True,True,True
0.3,0.003,0.99,0.2720123,0.272,0.188,0.54,True,True,True
0.3,0.01,0.95,0.31522223,0.316,0.2,0.484,True,True,True
0.3,0.01,0.99,0.26034376,0.26,0.204,0.536,True,True,True
0.3,0.03,0.95,0.2990014,0.3,0.22,0.48,True,True,True
0.3,0.03,0.99,0.41027558,0.38,0.0,0.508,True,False,True
0.3,0.1,0.95,0.35332862,0.328,0.0,0.548,True,False,True
0.3,0.1,0.99,0.36359206,0.316,0.0,0.528,True,False,True
0.3,0.3,0.95,0.3165753,0.276,0.0,0.624,True,False,True
0.3,0.3,0.99,0.32361323,0.28,0.0,0.604,True,False,True
0.3,0.5,0.95,0.25825,0.0,0.116,0.828,False,True,True
0.3,0.5,0.99,0.25742856,0.0,0.096,0.824,False,True,True
0.1,0.001,0.95,0.379781,0.38,0.148,0.472,True,True,True
0.1,0.001,0.99,0.35183805,0.352,0.152,0.496,True,True,True
0.1,0.003,0.95,0.39126402,0.392,0.148,0.46,True,True,True
0.1,0.003,0.99,0.3594586,0.36,0.152,0.488,True,True,True
0.1,0.01,0.95,0.40134668,0.404,0.148,0.448,True,True,True
0.1,0.01,0.99,0.3621209,0.364,0.14,0.496,True,True,True
0.1,0.03,0.95,0.3850224,0.392,0.14,0.468,True,True,True
0.1,0.03,0.99,0.45816326,0.436,0.0,0.484,True,False,True
0.1,0.1,0.95,0.43205285,0.428,0.0,0.472,True,False,True
0.1,0.1,0.99,0.42900532,0.42,0.0,0.484,True,False,True
0.1,0.3,0.95,0.32610133,0.296,0.0,0.624,True,False,True
0.1,0.3,0.99,0.3219496,0.284,0.0,0.628,True,False,True
0.1,0.5,0.95,0.26075,0.0,0.172,0.828,False,True,True
0.1,0.5,0.99,0.261,0.0,0.168,0.804,False,True,True
0.03,0.001,0.95,0.3837774,0.384,0.164,0.452,True,True,True
0.03,0.001,0.99,0.40771523,0.408,0.112,0.48,True,True,True
0.03,0.003,0.95,0.3833209,0.384,0.16,0.456,True,True,True
0.03,0.003,0.99,0.40715328,0.408,0.128,0.464,True,True,True
0.03,0.01,0.95,0.39350548,0.396,0.148,0.456,True,True,True
0.03,0.01,0.99,0.41301936,0.416,0.112,0.472,True,True,True
0.03,0.03,0.95,0.3402165,0.344,0.192,0.464,True,True,True
0.03,0.03,0.99,0.45927778,0.42,0.0,0.472,True,False,True
0.03,0.1,0.95,0.4296861,0.412,0.0,0.48,True,False,True
0.03,0.1,0.99,0.43870816,0.424,0.0,0.476,True,False,True
0.03,0.3,0.95,0.33333185,0.3,0.0,0.608,True,False,True
0.03,0.3,0.99,0.33885178,0.296,0.0,0.588,True,False,True
0.03,0.5,0.95,0.2645,0.0,0.232,0.768,False,True,True
0.03,0.5,0.99,0.2645714,0.0,0.232,0.764,False,True,True
0.01,0.001,0.95,0.3917581,0.392,0.152,0.456,True,True,True
0.01,0.001,0.99,0.41570362,0.416,0.128,0.456,True,True,True
0.01,0.003,0.95,0.38729694,0.388,0.16,0.452,True,True,True
0.01,0.003,0.99,0.38331488,0.384,0.152,0.464,True,True,True
0.01,0.01,0.95,0.3582696,0.36,0.168,0.472,True,True,True
0.01,0.01,0.99,0.39349553,0.396,0.144,0.46,True,True,True
0.01,0.03,0.95,0.3476308,0.352,0.176,0.472,True,True,True
0.01,0.03,0.99,0.4781104,0.448,0.0,0.464,True,False,True
0.01,0.1,0.95,0.42490643,0.396,0.0,0.48,True,False,True
0.01,0.1,0.99,0.42890185,0.404,0.0,0.48,True,False,True
0.01,0.3,0.95,0.32928467,0.288,0.0,0.612,True,False,True
0.01,0.3,0.99,0.34189448,0.3,0.0,0.588,True,False,True
0.01,0.5,0.95,0.26575,0.0,0.252,0.748,False,True,True
0.01,0.5,0.99,0.2655,0.0,0.248,0.752,False,True,True
0.003,0.001,0.95,0.36781046,0.368,0.168,0.464,True,True,True
0.003,0.001,0.99,0.3837752,0.384,0.156,0.46,True,True,True
0.003,0.003,0.95,0.3634466,0.364,0.168,0.468,True,True,True
0.003,0.003,0.99,0.38729098,0.388,0.152,0.46,True,True,True
0.003,0.01,0.95,0.3504482,0.352,0.176,0.472,True,True,True
0.003,0.01,0.99,0.36220008,0.364,0.172,0.464,True,True,True
0.003,0.03,0.95,0.34015828,0.344,0.184,0.472,True,True,True
0.003,0.03,0.99,0.45973742,0.416,0.0,0.472,True,False,True
0.003,0.1,0.95,0.4273197,0.392,0.0,0.488,True,False,True
0.003,0.1,0.99,0.42448577,0.388,0.0,0.488,True,False,True
0.003,0.3,0.95,0.3286242,0.28,0.0,0.616,True,False,True
0.003,0.3,0.99,0.33584398,0.276,0.0,0.592,True,False,True
0.003,0.5,0.95,0.2655,0.0,0.248,0.752,False,True,True
0.003,0.5,0.99,0.266,0.0,0.256,0.744,False,True,True
0.001,0.001,0.95,0.35982645,0.36,0.168,0.472,True,True,True
0.001,0.001,0.99,0.37180027,0.372,0.16,0.468,True,True,True
0.001,0.003,0.95,0.35152444,0.352,0.176,0.472,True,True,True
0.001,0.003,0.99,0.37536877,0.376,0.16,0.464,True,True,True
0.001,0.01,0.95,0.3582696,0.36,0.168,0.472,True,True,True
0.001,0.01,0.99,0.37001157,0.372,0.16,0.468,True,True,True
0.001,0.03,0.95,0.34380725,0.348,0.168,0.484,True,True,True
0.001,0.03,0.99,0.46771392,0.428,0.0,0.472,True,False,True
0.001,0.1,0.95,0.42681897,0.388,0.0,0.488,True,False,True
0.001,0.1,0.99,0.41332072,0.38,0.0,0.488,True,False,True
0.001,0.3,0.95,0.33081904,0.28,0.0,0.612,True,False,True
0.001,0.3,0.99,0.3396759,0.276,0.0,0.588,True,False,True
0.001,0.5,0.95,0.26822728,0.0,0.248,0.732,False,True,True
0.001,0.5,0.99,0.2676591,0.0,0.252,0.736,False,True,True
