lr,er,df,Cooperation,avgWSLS,avgGT,avgALLD,WSLS,GT,ALLD
1.0,0.001,0.95,0.061832394,0.008,0.008,0.632,True,True,True
1.0,0.001,0.99,0.061832394,0.008,0.008,0.632,True,True,True
1.0,0.003,0.95,0.062695615,0.008,0.008,0.632,True,True,True
1.0,0.003,0.99,0.062695615,0.008,0.008,0.632,True,True,True
1.0,0.01,0.95,0.06572091,0.008,0.008,0.632,True,True,True
1.0,0.01,0.99,0.06333213,0.008,0.0,0.712,True,False,True
1.0,0.03,0.95,0.074379854,0.008,0.008,0.632,True,True,True
1.0,0.03,0.99,0.0720091,0.008,0.0,0.712,True,False,True
1.0,0.1,0.95,0.10250552,0.008,0.0,0.712,True,False,True
1.0,0.1,0.99,0.10250552,0.008,0.0,0.712,True,False,True
1.0,0.3,0.95,0.18004072,0.008,0.0,0.772,True,False,True
1.0,0.3,0.99,0.18004072,0.008,0.0,0.772,True,False,True
1.0,0.35,0.95,0.1758535,0.0,0.0,0.924,False,False,True
1.0,0.35,0.99,0.1758535,0.0,0.0,0.924,False,False,True
1.0,0.5,0.95,0.25285712,0.0,0.008,0.86,False,True,True
1.0,0.5,0.99,0.25285712,0.0,0.008,0.86,False,True,True
0.3,0.001,0.95,0.24406697,0.244,0.2,0.556,True,True,True
0.3,0.001,0.99,0.22809896,0.228,0.2,0.572,True,True,True
0.3,0.003,0.95,0.24419488,0.244,0.208,0.548,True,True,True
0.3,0.003,0.99,0.22431763,0.224,0.212,0.564,True,True,True
0.3,0.01,0.95,0.22507818,0.224,0.212,0.564,True,True,True
0.3,0.01,0.99,0.32500836,0.296,0.0,0.568,True,False,True
0.3,0.03,0.95,0.21239841,0.208,0.22,0.572,True,True,True
0.3,0.03,0.99,0.32302138,0.28,0.0,0.572,True,False,True
0.3,0.1,0.95,0.29536283,0.256,0.0,0.6,True,False,True
0.3,0.1,0.99,0.3247421,0.292,0.0,0.588,True,False,True
0.3,0.3,0.95,0.24562283,0.136,0.0,0.732,True,False,True
0.3,0.3,0.99,0.24972376,0.144,0.0,0.736,True,False,True
0.3,0.35,0.95,0.18783763,0.0,0.0,0.804,False,False,True
0.3,0.35,0.99,0.21575336,0.0,0.0,0.756,False,False,True
0.3,0.5,0.95,0.25175,0.0,0.028,0.972,False,True,True
0.3,0.5,0.99,0.252,0.0,0.032,0.968,False,True,True
0.1,0.001,0.95,0.37579226,0.376,0.16,0.464,True,True,True
0.1,0.001,0.99,0.3039405,0.304,0.176,0.52,True,True,True
0.1,0.003,0.95,0.36741665,0.368,0.16,0.472,True,True,True
0.1,0.003,0.99,0.28791353,0.288,0.184,0.528,True,True,True
0.1,0.01,0.95,0.3386864,0.34,0.176,0.484,True,True,True
0.1,0.01,0.99,0.42568493,0.404,0.0,0.496,True,False,True
0.1,0.03,0.95,0.3138882,0.316,0.196,0.488,True,True,True
0.1,0.03,0.99,0.43051356,0.408,0.0,0.496,True,False,True
0.1,0.1,0.95,0.40320253,0.392,0.0,0.492,True,False,True
0.1,0.1,0.99,0.405557,0.392,0.0,0.492,True,False,True
0.1,0.3,0.95,0.2617951,0.168,0.0,0.708,True,False,True
0.1,0.3,0.99,0.27760395,0.204,0.0,0.696,True,False,True
0.1,0.35,0.95,0.21276893,0.0,0.0,0.768,False,False,True
0.1,0.35,0.99,0.22037509,0.0,0.0,0.764,False,False,True
0.1,0.5,0.95,0.2535,0.0,0.056,0.944,False,True,True
0.1,0.5,0.99,0.254,0.0,0.064,0.936,False,True,True
0.03,0.001,0.95,0.37979195,0.38,0.188,0.432,True,True,True
0.03,0.001,0.99,0.36781043,0.368,0.168,0.464,True,True,True
0.03,0.003,0.95,0.37142265,0.372,0.2,0.428,True,True,True
0.03,0.003,0.99,0.38332683,0.384,0.168,0.448,True,True,True
0.03,0.01,0.95,0.37010068,0.372,0.196,0.432,True,True,True
0.03,0.01,0.99,0.4749354,0.46,0.0,0.464,True,False,True
0.03,0.03,0.95,0.3628086,0.368,0.192,0.44,True,True,True
0.03,0.03,0.99,0.47070464,0.448,0.0,0.452,True,False,True
0.03,0.1,0.95,0.4105948,0.408,0.0,0.508,True,False,True
0.03,0.1,0.99,0.42935947,0.424,0.0,0.476,True,False,True
0.03,0.3,0.95,0.27337512,0.184,0.0,0.696,True,False,True
0.03,0.3,0.99,0.29643047,0.228,0.0,0.652,True,False,True
0.03,0.35,0.95,0.2219949,0.0,0.0,0.736,False,False,True
0.03,0.35,0.99,0.2295695,0.0,0.0,0.732,False,False,True
0.03,0.5,0.95,0.25575,0.0,0.092,0.908,False,True,True
0.03,0.5,0.99,0.25525,0.0,0.084,0.916,False,True,True
0.01,0.001,0.95,0.39575884,0.396,0.184,0.42,True,True,True
0.01,0.001,0.99,0.39176685,0.392,0.184,0.424,True,True,True
0.01,0.003,0.95,0.37935382,0.38,0.172,0.448,True,True,True
0.01,0.003,0.99,0.39526403,0.396,0.18,0.424,True,True,True
0.01,0.01,0.95,0.39359456,0.396,0.184,0.42,True,True,True
0.01,0.01,0.99,0.53150475,0.512,0.0,0.416,True,False,True
0.01,0.03,0.95,0.36645752,0.372,0.176,0.452,True,True,True
0.01,0.03,0.99,0.4930463,0.472,0.0,0.44,True,False,True
0.01,0.1,0.95,0.41318634,0.408,0.0,0.504,True,False,True
0.01,0.1,0.99,0.4249328,0.416,0.0,0.484,True,False,True
0.01,0.3,0.95,0.28934577,0.216,0.0,0.664,True,False,True
0.01,0.3,0.99,0.2975122,0.228,0.0,0.656,True,False,True
0.01,0.35,0.95,0.23242213,0.0,0.0,0.72,False,False,True
0.01,0.35,0.99,0.2380846,0.0,0.0,0.708,False,False,True
0.01,0.5,0.95,0.25625,0.0,0.1,0.9,False,True,True
0.01,0.5,0.99,0.256,0.0,0.096,0.904,False,True,True
0.003,0.001,0.95,0.38777265,0.388,0.176,0.436,True,True,True
0.003,0.001,0.99,0.40374285,0.404,0.184,0.412,True,True,True
0.003,0.003,0.95,0.3873149,0.388,0.184,0.428,True,True,True
0.003,0.003,0.99,0.39527002,0.396,0.188,0.416,True,True,True
0.003,0.01,0.95,0.38964427,0.392,0.172,0.436,True,True,True
0.003,0.01,0.99,0.49934947,0.464,0.0,0.444,True,False,True
0.003,0.03,0.95,0.35521966,0.36,0.184,0.456,True,True,True
0.003,0.03,0.99,0.48147246,0.444,0.0,0.452,True,False,True
0.003,0.1,0.95,0.40801182,0.388,0.0,0.504,True,False,True
0.003,0.1,0.99,0.4243193,0.404,0.0,0.48,True,False,True
0.003,0.3,0.95,0.3002143,0.232,0.0,0.66,True,False,True
0.003,0.3,0.99,0.3083496,0.244,0.0,0.644,True,False,True
0.003,0.35,0.95,0.23604208,0.0,0.0,0.724,False,False,True
0.003,0.35,0.99,0.24442115,0.0,0.0,0.7,False,False,True
0.003,0.5,0.95,0.256,0.0,0.096,0.904,False,True,True
0.003,0.5,0.99,0.25725,0.0,0.116,0.884,False,True,True
0.001,0.001,0.95,0.37779742,0.376,0.188,0.428,True,True,True
0.001,0.001,0.99,0.38478267,0.384,0.188,0.424,True,True,True
0.001,0.003,0.95,0.3813523,0.38,0.18,0.432,True,True,True
0.001,0.003,0.99,0.3843381,0.384,0.188,0.424,True,True,True
0.001,0.01,0.95,0.37595668,0.376,0.18,0.436,True,True,True
0.001,0.01,0.99,0.49884185,0.46,0.0,0.436,True,False,True
0.001,0.03,0.95,0.35340858,0.356,0.188,0.448,True,True,True
0.001,0.03,0.99,0.46884203,0.432,0.0,0.452,True,False,True
0.001,0.1,0.95,0.40104398,0.384,0.0,0.496,True,False,True
0.001,0.1,0.99,0.41447014,0.404,0.0,0.48,True,False,True
0.001,0.3,0.95,0.2984241,0.224,0.0,0.664,True,False,True
0.001,0.3,0.99,0.3061307,0.248,0.0,0.64,True,False,True
0.001,0.35,0.95,0.23856263,0.0,0.0,0.716,False,False,True
0.001,0.35,0.99,0.24104312,0.0,0.0,0.704,False,False,True
0.001,0.5,0.95,0.2563,0.0,0.096,0.9,False,True,True
0.001,0.5,0.99,0.257,0.0,0.112,0.888,False,True,True
